pork,5,-3
meals,4,-1
egg,2,-5
music,1,0
people,7,-2
paradise,1,0
grease,-1,0
dishes,32,2
meal,2,-3
staff,19,1
roll,-1,-1
dish,14,-2
taste,5,-4
soup,10,1
cabbage,-1,-2
buns,0,-2
cooking,2,0
rice,14,-4
meat,1,-2
service,17,2
bun,0,-1
pictures,0,0
bo,0,2
dinner,11,5
rolls,4,-4
menu,35,2
salty,-2,-1
spot,8,1
experiences,-2,-1
staple,0,-1
lunch,9,0
fatty,-1,0
noodles,4,-1
dessert,1,0
efficient,1,-1
experience,-1,0
broth,1,0
sauce,14,-3
bean,3,-1
combination,0,-1
vegetables,7,-3
fat,0,-2
dry,0,-1
chewy,0,-1
prompt,2,0
flavorful,-1,-1
bones,0,-1
sprouts,0,-1
cost,2,-1
steak,2,0
choy,1,0
blend,1,1
spices,0,1
ingredients,-1,0
texture,1,0
food,64,-5
warm,5,0
catering,0,0
times,14,3
broccoli,2,-2
mushrooms,0,0
pea,3,-1
pods,0,-1
sour,3,3
cooked,5,-1
enjoy,7,0
workers,1,0
pieces,2,-2
soggy,0,0
squeeze,0,0
bone,1,0
pepper,5,1
lobster,7,0
chives,1,0
consistency,-1,0
soy,0,0
vegetable,3,-2
crisp,0,0
chop,-1,1
cantonese,0,0
polite,1,0
sugar,0,-1
area,12,-1
offer,2,1
cashew,0,0
carrots,0,-1
peanuts,0,0
chef,-1,1
flavors,3,1
onion,1,-1
welcome,0,0
tea,7,0
picture,0,0
dip,0,0
comfort,2,0
fun,4,0
consistent,4,0
sit,5,0
par,0,0
starch,-1,0
cheap,3,1
suppose,0,0
pizza,1,0
Accuracy,71.84,
